judul,tanggal,isi,kategori
FOTO: Melihat Kehancuran Gaza usai Satu Tahun Agresi Brutal Israel,"Senin, 07 Okt 2024 10:30 WIB","Satu tahun agresi Israel ke Gaza yang dimulai sejak 7 Oktober lalu, warga Palestina terpuruk dengan kondisi kemanusiaan yang kian parah.",internasional
"VIDEO: Setahun Agresi Israel ke Gaza, Korban Tewas Capai 41.870 Orang"," Senin, 07 Okt 2024 10:03 WIB ","Agresi Israel ke Jalur Gaza telah memasuki satu tahun per hari ini, Senin (7/10).
Dalam rentang setahun itu, korban jiwa akibat serangan Israel ke Gaza sudah menyentuh 41.870 orang.
Selain korban tewas, 97.166 orang dilaporkan luka-luka dan 11 ribu warga masih dinyatakan hilang.
Agresi Israel ke Gaza jadi salah satu konflik paling merusak di abad 21.
Selain itu, konflik kali ini jadi perang paling mematikan bagi warga Palestina.
Konflik ini pun mulai menyebar ke wilayah lain, seperti Lebanon dan Iran.
Kelompok Hizbullah dan Iran ikut melakukan serangan ke Israel sebagai bentuk solidaritas terhadap Palestina.",internasional
Jenderal Brigade Al-Quds Iran Hilang usai Israel Serang Lebanon," Senin, 07 Okt 2024 09:59 WIB ","Kepala pasukan Brigade Al-Quds Iran, Esmail Qaani, menghilang sejak Israel menyerang Beirut, Lebanon, akhir pekan lalu.
Seorang pejabat senior keamanan Iran mengatakan saat Israel menyerang Beirut, Qaani dilaporkan berada di Dahiyeh di selatan Lebanon.
Selain Qaani, sebelumnya pejabat senior Hizbullah, Hashem Safieddine, yang digadang-gadang bakal menjadi calon pengganti mendiang Sekretaris Jenderal Hassan Nasrallah, juga dikabarkan hilang kontak.
Meski Safieddine juga berada di wilayah yang sama saat Israel melakukan serangan, namun dia diyakini sedang tidak bertemu dengan Qaani.

Pejabat Iran lainnya menyebut Qaani sudah berada di Lebanon sejak Israel membunuh pemimpin tertinggi Hizbullah, Hassan Nasrallah, pada 27 September lalu. Namun, ia mengatakan bahwa Iran dan Hizbullah tidak bisa menghubungi Qaani sejak Israel menyerang Beirut pekan lalu.
Qaani sendiri sudah ditunjuk sebagai pemimpin Brigade Al-Quds pada 2020. Ia menggantikan pendahulunya, Qassem Soleimani, usai Amerika Serikat membunuhnya dalam serangan pesawat tak berawak di Baghdad pada 2020.
Sebelumnya, militer Israel melakukan serangan udara ke markas intelijen Hizbullah yang berada di selatan Beirut pada Kamis (3/10). Dalam serangan tersebut, Zionis dilaporkan menargetkan calon pemimpin baru Hizbullah, Hashem Safieddin.

Safieddin sendiri diprediksi akan menggantikan Hassan Nasrallah sebagai pemimpin tertinggi Hizbullah yang tewas dalam serangan Israel.
Qaani kemungkinan tewas dalam serangan tersebut. Namun, militer Israel menolak untuk berkomentar terkait nasib Qaani. Mereka mengatakan bahwa kebenaran kabar tersebut sedang dikaji oleh tim terkait.
""Jika kami memiliki hasil yang lebih spesifik dari serangan itu, kami akan membagikannya. Ada banyak pertanyaan tentang siapa yang hadir dan siapa yang tidak,"" katanya dalam jumpa pers dengan wartawan dilansir Reuters.




",internasional
"VIDEO: Kelompok Militan Pakistan Serang Karachi, 1 Orang Tewas"," Senin, 07 Okt 2024 09:28 WIB ","Sebuah ledakan terjadi di dekat bandara internasional di Karachi, Pakistan selatan, Minggu (6/10) malam.
Ledakan itu menewaskan 1 orang dan melukai 10 lainnya.
Pemerintah setempat belum mengumumkan secara resmi penyebab ledakan tersebut.
Namun kelompok militan BLA mengklaim serangan itu dilakukan oleh anggotanya dengan menggunakan bom rakitan.
Mereka juga menyebut serangan itu ditujukan kepada warga China yang melintas.
BLA sudah sejak lama mendorong kemerdekaan bagi provinsi Balochistan.
Mereka menuduh China telah bekerja sama dengan pemerintah pusat Pakistan untuk mengeksploitasi Balochistan.
BLA pun sudah beberapa kali melakukan serangan, termasuk menyerang konsulat China di Karachi.",internasional
"Setahun Agresi Gaza, Israel Was-was Antisipasi Serangan Roket Hamas"," Senin, 07 Okt 2024 09:25 WIB ","Pasukan Pertahanan Israel (IDF) bersiaga ketat di perbatasan menjelang satu tahun agresi di Jalur Gaza, Palestina, Minggu (6/10) waktu setempat.
IDF bersiaga untuk mengantisipasi serangan kelompok milisi Hamas Palestina pada Senin (7/10), hari peringatan satu tahun konflik yang telah dimulai sejak 7 Oktober 2023 lalu.
The Times of Israel melaporkan IDF telah memperkuat pasukan di perbatasan untuk mengantisipasi serangan roket jarak jauh yang kemungkinan ditembakkan dari Gaza.
Sejumlah sumber militer percaya Hamas masih bisa melakukan serangan roket meskipun sebagian besar operasinya telah ditumpas Israel.

""Komando Selatan bersiap dalam pertahanan dan serangan untuk beberapa skenario selama bulan-bulan yang akan datang, bersamaan dengan memungkinkan acara peringatan dapat dilaksanakan dengan aman,"" demikian pernyataan IDF.
Menurut militer, Hamas bisa saja menembakkan roket dari Gaza ke perbatasan maupun Israel tengah. Oleh sebab itu, militer memperkuat pertahanan di sepanjang perbatasan Gaza hingga Koridor Netzarim, lokasi pendudukan IDF.
Sejumlah kompi pun dilaporkan tengah dikerahkan guna menjaga kota-kota perbatasan Zionis.
""Kami dalam kewaspadaan tinggi selama beberapa hari mendatang. Pada tingkat kesiapan yang tinggi dengan tindakan ofensif,"" kata kepala Komando Selatan Yaron Finkelman.

Pada Sabtu (5/10) malam, juru bicara IDF Daniel Hagari mewanti-wanti warga sipil untuk berhati-hati.
""Kami siap meningkatkan pasukan guna mengantisipasi hari ini,"" kata dia.
Agresi Israel di Gaza per hari ini, Senin (7/10), telah memasuki satu tahun sejak diluncurkan 7 Oktober 2023 lalu pasca serangan kelompok milisi Hamas ke Israel.
Agresi ini telah menewaskan 41.870 warga Palestina dan melukai 97.166 orang. Hingga kini, Israel dan Hamas belum kunjung menyepakati gencatan senjata.
Menurut catatan pemerintah Israel, sebanyak 101 orang masih disandera oleh Hamas di Jalur Gaza sejak Oktober 2023. Sekitar 31 orang di antaranya diyakini telah meninggal.
Keluarga para sandera Hamas, baik yang masih ditawan maupun yang tewas, dikabarkan bakal menggelar peringatan satu tahun penyanderaan tersebut. Upacara itu akan digelar secara terbatas di Taman Yarkon Tel Aviv pada Senin pukul 19.00 malam waktu setempat.
Sekitar 2.000 orang akan berkumpul dalam upacara peringatan tersebut.



",internasional
"Israel Sebar Selebaran di RS Indonesia Gaza, Desak Warga Mengungsi"," Senin, 07 Okt 2024 08:45 WIB ","Militer Israel menjatuhkan ratusan selebaran ke wilayah kompleks Rumah Sakit Indonesia di Jalur Gaza utara, menjelang satu tahun agresi Israel di Gaza Palestina, Minggu (6/10).
Organisasi kemanusiaan Medical Emergency Rescue Committee (MER-C) Indonesia menyebut ratusan selebaran itu berisi perintah agar warga segera mengungsi ke Gaza selatan.

""Pihak Israel menebar selebaran-selebaran untuk warga yang ada di sekitar Rumah Sakit Indonesia untuk segera melakukan evakuasi,"" kata relawan MER-C , Fikri Rofiul Haq, dalam keterangan video di Instagram MER-C.
Dalam video yang direkam Fikri, tampak ratusan selebaran tersebut melayang-layang di udara usai dijatuhkan dari pesawat Israel.
Selang beberapa jam kemudian, Fikri kembali melaporkan melalui video berbeda bahwa pasukan militer Zionis membombardir Gaza utara dengan jet tempur, tank, maupun rentetan senjata lainnya.

Tampak semburat jingga di langit dekat RS Indonesia dalam salah satu tangkapan foto yang diambil Fikri.
""Malam yang berat di Gaza utara sudah masuk hari ke-2 serangan darat,"" lapor Fikri.
Agresi Israel di Gaza per hari ini, Senin (7/10), telah memasuki satu tahun sejak diluncurkan 7 Oktober 2023 lalu pasca serangan kelompok milisi Hamas ke Israel.
Agresi ini telah menewaskan 41.870 orang dan melukai 97.166 orang. Hingga kini, Israel dan Hamas belum kunjung menyepakati gencatan senjata.
Sejak diluncurkan, Israel terus membombardir Gaza dan memerintahkan warga mengungsi dari satu tempat ke tempat lain. Israel terakhir kali memerintahkan warga evakuasi ke Al Mawasi, wilayah di Gaza selatan.
Namun, belakangan pasukan militer turut menyerang kawasan yang diklaim zona aman tersebut.

[Gambas:Instagram]
",internasional
"VIDEO: Roket Hizbullah Hantam Haifa, 10 Warga Terluka"," Senin, 07 Okt 2024 08:43 WIB ","Roket Hizbullah menghantam bangunan dan jalan di Haifa pada Senin (7/10).
Video dari lokasi kejadian menunjukkan kerusakan kecil di bagian bangunan dan mobil-mobil yang terparkir di jalan.
Media Israel melaporkan serangan itu melukai setidaknya 10 warga.
Hizbullah dalam pernyataannya menyebut bahwa mereka mengincar pangkalan militer di selatan Haifa.
Mereka juga menyebut rudal yang digunakan untuk menyerang Hafia bernama Fadi 1.",internasional
"Satu Tahun Agresi Brutal Israel di Palestina, 41.870 Orang Tewas"," Senin, 07 Okt 2024 08:18 WIB ","Agresi Israel di Jalur Gaza, Palestina, telah memasuki satu tahun per hari ini, Senin (7/10). Puluhan ribu korban jiwa telah berjatuhan dan berbagai kerusakan menyelimuti Gaza.
Dilansir dari Anadolu Agency, agresi Israel di Palestina ini merupakan salah satu konflik paling merusak di abad ke-21. Ini juga menjadi perang paling mematikan bagi warga Palestina dalam sejarah konflik Israel-Palestina.

Berikut rangkuman berbagai bentuk kerusakan yang terjadi di Gaza selama satu tahun agresi brutal pasukan Zionis.
Korban jiwa akibat agresi Israel di Jalur Gaza telah mencapai 41.870 orang. Sementara itu, korban luka-luka mencapai 97.166 orang dan 11.000 orang masih dilaporkan menghilang.
Menurut catatan pemerintah Israel, sebanyak 101 orang masih disandera oleh kelompok milisi Hamas di Jalur Gaza sejak Oktober 2023. Sekitar 31 orang di antaranya diyakini telah meninggal dunia

Total 456 sekolah, universitas, dan gedung pendidikan rusak atau hancur akibat agresi Israel di Jalur Gaza.
Per 27 Agustus, Kementerian Pendidikan Palestina melaporkan lebih dari 10.888 anak tewas, bersama dengan 529 guru dan staf administrasi. Sementara itu, total 17.224 anak dan 3.686 guru mengalami luka-luka.

Berdasarkan rekapitulasi ABC News, setidaknya 718.000 siswa di Gaza mengalami gangguan pendidikan imbas perang ini. Kemudian, menurut UNICEF, setidaknya 45.000 anak berusia enam tahun kehilangan kesempatan pertama mereka untuk mulai bersekolah.
Data Kelompok Kerja Teknis Perumahan, Tanah, dan Properti melaporkan pada September setidaknya 297.000 unit rumah di Gaza mengalami kerusakan, dengan 87.000 rumah tercatat hancur total.



",internasional
"Israel Bom Masjid-Sekolah Tempat Penampungan Pengungsi Gaza, 26 Tewas"," Senin, 07 Okt 2024 07:46 WIB ","Sebanyak 26 orang tewas dalam serangan udara Israel ke sebuah masjid dan sekolah di Gaza pada Minggu (6/10) pagi waktu setempat.
Serangan terhadap masjid dekat Rumah Sakit Al-Aqsa di Deir al-Balah di Jalur Gaza tengah itu terjadi menjelang satu tahun agresi Israel ke Palestina, yang dimulai sejak 7 Oktober 2023.

""Jumlah korban yang dibawa ke rumah sakit akibat penargetan Israel terhadap pengungsi di sekolah Ibn Rushd dan masjid Al Aqsa mencapai 26 orang, dengan beberapa lainnya terluka,"" demikian pernyataan Kementerian Kesehatan di Gaza.
Dilansir New Arab, jumlah korban tewas awal adalah lima orang. Namun saksi mata mengatakan jumlah korban bisa bertambah, karena masjid tersebut digunakan untuk menampung orang-orang terlantar.
Dalam sebuah pernyataan, Israel mengklaim melakukan ""serangan tepat sasaran terhadap teroris Hamas"", yang mereka sebut beroperasi di dalam pusat komando dan kontrol di dalam sebuah bangunan, yang sebelumnya berfungsi sebagai Masjid Shuhada al-Aqsa di daerah Deir al Balah.
Namun kelompok Hamas telah berulang kali membantah tuduhan Israel, yang kerap menuduh mereka menggunakan infrastruktur sipil sebagai pusat komando.

Hingga kini, agresi brutal Israel di Gaza telah menewaskan hampir 42 ribu warga Palestina, di mana sebagian besar korban adalah perempuan, lansia, dan anak-anak.
Serangan Israel di wilayah kantong itu juga menyebabkan hampir 2,3 juta warga harus mengungsi, menimbulkan krisis kelaparan dan kemanusiaan parah.



",internasional
Netanyahu Akui Bunuh Bos Hizbullah sampai Risiko Perang Israel-Iran," Senin, 07 Okt 2024 07:11 WIB ","Perdana Menteri Israel, Benjamin Netanyahu, mengakui pemerintahnya yang membunuh pemimpin Hizbullah Lebanon, Hassan Nasrallah.
Sementara itu, pakar menyebut Israel ada di posisi berisiko dan rentan, jika betul-betul terlibat perang melawan Iran.

Berikut rangkumannya dalam Kilas Internasional hari ini, Senin (7/10).
Perdana Menteri Israel Benjamin Netanyahu mengakui pemerintahan dia menghabisi pemimpin Hizbullah Hassan Nasrallah dalam serangan udara di Ibu Kota Lebanon, Beirut, pada 27 September lalu.
""Kami melenyapkan Nasrallah dan petinggi Hizbullah, kami melenyapkan komandan pasukan khusus Radwan (Ibrahim Aqil) yang berencana menyerang Galilea,"" kata Netanyahu.
Dalam pengakuannya itu, Netanyahu menyebut Nasrallah selalu mengejek Israel dan menyebut negara Zionis itu sebagai jaring laba-laba.

Perdana Menteri Benjamin Netanyahu mengakui Israel 'babak belur' usai Iran menghujani ratusan rudal ke negara itu pada pekan lalu.
""Iran sudah dua kali meluncurkan ratusan rudal ke wilayah kami dan ke kota-kota kami, dalam salah satu serangan rudal balistik terbesar dalam sejarah,"" kata Netanyahu.
""Tak ada negara di dunia yang akan menerima serangan seperti itu terhadap kota-kota dan warganya, bahkan negara Israel pun tidak,"" ujar Netanyahu.
Jika saling serang itu terus berlanjut, sejumlah pakar khawatir perang akan pecah di Timur Tengah dan agresi pasukan Zionis di Jalur Gaza jadi terpinggirkan atau bahkan tak terselesaikan.

Sejumlah pakar mewanti-wanti Israel jika membalas serangan dan betul-betul perang melawan Iran.
Koresponden urusan luar negeri The Guardian Andrew Roth mengatakan eskalasi dengan Iran bisa membuat Israel berada dalam posisi yang lebih berisiko.
""Lebih rentan daripada yang terlihat,"" kata Roth dalam judul analisis yang dirilis The Guardian, Sabtu (5/10).
Pakar yang fokus soal program nuklir sekaligus analis citra satelit dari Channel NewsAsia (CNA) Decker Eveleth mengatakan Iran membuktikan mampu menyerang Israel dengan keras jika mereka mau.
""Pangkalan udara adalah target yang sulit, dan jenis target yang kemungkinan tak akan menimbulkan banyak korban,"" ujar Eveleth di blog soal militer, Hors D'Oeuvres of Battle.
",internasional
